"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"AME","Americas","DOM","Dominican Republic","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","DOM","Dominican Republic","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.9,,
"ALL","All regions","DOM","Dominican Republic","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","DOM","Dominican Republic","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.9,,
"AME","Americas","ECU","Ecuador","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","ECU","Ecuador","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",64.3,,
"ALL","All regions","ECU","Ecuador","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ECU","Ecuador","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",64.3,,
"AFR","Africa","GNQ","Equatorial Guinea","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","GNQ","Equatorial Guinea","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","FJI","Fiji","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","FJI","Fiji","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","GAB","Gabon","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","GAB","Gabon","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",44.4,,
"ALL","All regions","GAB","Gabon","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","GAB","Gabon","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",44.4,,
"AME","Americas","GRD","Grenada","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","GRD","Grenada","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AME","Americas","GTM","Guatemala","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","GTM","Guatemala","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",60.1,,
"ALL","All regions","GTM","Guatemala","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","GTM","Guatemala","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",60.1,,
"AME","Americas","GUY","Guyana","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","GUY","Guyana","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","IRN","Iran","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","IRN","Iran","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",56,,
"ALL","All regions","IRN","Iran","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","IRN","Iran","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",56,,
"ASI","Asia","IRQ","Iraq","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","IRQ","Iraq","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",24.2,,
"ALL","All regions","IRQ","Iraq","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","IRQ","Iraq","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",24.2,,
"AME","Americas","JAM","Jamaica","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","JAM","Jamaica","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",55,,
"ALL","All regions","JAM","Jamaica","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","JAM","Jamaica","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",55,,
"ASI","Asia","JOR","Jordan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","JOR","Jordan","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",45,,
"ALL","All regions","JOR","Jordan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","JOR","Jordan","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",45,,
"ASI","Asia","KAZ","Kazakhstan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","KAZ","Kazakhstan","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.8,,
"ALL","All regions","KAZ","Kazakhstan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","KAZ","Kazakhstan","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.8,,
"ASI","Asia","LBN","Lebanon","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","LBN","Lebanon","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",46.7,,
"ALL","All regions","LBN","Lebanon","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","LBN","Lebanon","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",46.7,,
"AFR","Africa","LBY","Libya","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","LBY","Libya","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"EUR","Europe","MKD","North Macedonia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","MKD","North Macedonia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.3,,
"ALL","All regions","MKD","North Macedonia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MKD","North Macedonia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.3,,
"ASI","Asia","MYS","Malaysia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MYS","Malaysia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","MDV","Maldives","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MDV","Maldives","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MUS","Mauritius","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MUS","Mauritius","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",48.1,,
"ALL","All regions","MUS","Mauritius","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MUS","Mauritius","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",48.1,,
"AFR","Africa","NAM","Namibia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","NAM","Namibia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",65.3,,
"ALL","All regions","NAM","Namibia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NAM","Namibia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",65.3,,
"AME","Americas","PRY","Paraguay","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","PRY","Paraguay","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",57.5,,
"ALL","All regions","PRY","Paraguay","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","PRY","Paraguay","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",57.5,,
"AME","Americas","PER","Peru","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","PER","Peru","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",58.7,,
"ALL","All regions","PER","Peru","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","PER","Peru","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",58.7,,
"EUR","Europe","ROU","Romania","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","ROU","Romania","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.5,,
"ALL","All regions","ROU","Romania","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ROU","Romania","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.5,,
"EUR","Europe","RUS","Russia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","RUS","Russia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",64.9,,
"ALL","All regions","RUS","Russia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","RUS","Russia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",64.9,,
"ASI","Asia","WSM","Samoa","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","WSM","Samoa","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","ZAF","South Africa","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AFR","Africa","ZAF","South Africa","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",45,,
"ALL","All regions","ZAF","South Africa","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ZAF","South Africa","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",45,,
"ASI","Asia","THA","Thailand","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","THA","Thailand","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.7,,
"ALL","All regions","THA","Thailand","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","THA","Thailand","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.7,,
"ASI","Asia","TKM","Turkmenistan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","TKM","Turkmenistan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","VEN","Venezuela","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","VEN","Venezuela","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",60,,
"ALL","All regions","VEN","Venezuela","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","VEN","Venezuela","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",60,,
"EUR","Europe","SRB","Serbia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","SRB","Serbia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.8,,
"ALL","All regions","SRB","Serbia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","SRB","Serbia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.8,,
"EUR","Europe","MNE","Montenegro","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","MNE","Montenegro","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"ALL","All regions","MNE","Montenegro","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","MNE","Montenegro","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"AFR","Africa","AGO","Angola","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","AGO","Angola","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","BGD","Bangladesh","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","BGD","Bangladesh","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"ALL","All regions","BGD","Bangladesh","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BGD","Bangladesh","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"ASI","Asia","BTN","Bhutan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","BTN","Bhutan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","BOL","Bolivia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AME","Americas","BOL","Bolivia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",58.9,,
"ALL","All regions","BOL","Bolivia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","BOL","Bolivia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",58.9,,
"ASI","Asia","KHM","Cambodia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","KHM","Cambodia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"ALL","All regions","KHM","Cambodia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","KHM","Cambodia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"AFR","Africa","CMR","Cameroon","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","CMR","Cameroon","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",53,,
"ALL","All regions","CMR","Cameroon","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CMR","Cameroon","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",53,,
"AFR","Africa","CPV","Cabo Verde","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CPV","Cabo Verde","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","COG","Congo","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","COG","Congo","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"ALL","All regions","COG","Congo","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","COG","Congo","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"AFR","Africa","CIV","Côte d'Ivoire","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","CIV","Côte d'Ivoire","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",52.1,,
"ALL","All regions","CIV","Côte d'Ivoire","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CIV","Côte d'Ivoire","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",52.1,,
"AFR","Africa","DJI","Djibouti","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","DJI","Djibouti","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","EGY","Egypt","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","EGY","Egypt","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AME","Americas","SLV","El Salvador","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AME","Americas","SLV","El Salvador","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",60.2,,
"ALL","All regions","SLV","El Salvador","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","SLV","El Salvador","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",60.2,,
"ASI","Asia","GEO","Georgia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","GEO","Georgia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",48.2,,
"ALL","All regions","GEO","Georgia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","GEO","Georgia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",48.2,,
"AFR","Africa","GHA","Ghana","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","GHA","Ghana","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",40.2,,
"ALL","All regions","GHA","Ghana","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","GHA","Ghana","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",40.2,,
"AME","Americas","HND","Honduras","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","HND","Honduras","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",58.1,,
"ALL","All regions","HND","Honduras","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","HND","Honduras","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",58.1,,
"ASI","Asia","IND","India","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","IND","India","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",49.7,,
"ALL","All regions","IND","India","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","IND","India","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",49.7,,
"ASI","Asia","IDN","Indonesia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",1,,
"ASI","Asia","IDN","Indonesia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.3,,
"ALL","All regions","IDN","Indonesia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",1,,
"ALL","All regions","IDN","Indonesia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.3,,
"AFR","Africa","KEN","Kenya","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","KEN","Kenya","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",47.6,,
"ALL","All regions","KEN","Kenya","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","KEN","Kenya","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",47.6,,
"ASI","Asia","KGZ","Kyrgyzstan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","KGZ","Kyrgyzstan","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",61.7,,
"ALL","All regions","KGZ","Kyrgyzstan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","KGZ","Kyrgyzstan","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",61.7,,
"ASI","Asia","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",41.9,,
"ALL","All regions","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",41.9,,
"AFR","Africa","LSO","Lesotho","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"AFR","Africa","LSO","Lesotho","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"ALL","All regions","LSO","Lesotho","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","LSO","Lesotho","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"AFR","Africa","MRT","Mauritania","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MRT","Mauritania","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",37.9,,
"ALL","All regions","MRT","Mauritania","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MRT","Mauritania","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",37.9,,
"EUR","Europe","MDA","Moldova","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","MDA","Moldova","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",52.1,,
"ALL","All regions","MDA","Moldova","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","MDA","Moldova","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",52.1,,
"ASI","Asia","MNG","Mongolia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","MNG","Mongolia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",59.1,,
"ALL","All regions","MNG","Mongolia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MNG","Mongolia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",59.1,,
"AFR","Africa","MAR","Morocco","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MAR","Morocco","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",52,,
"ALL","All regions","MAR","Morocco","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MAR","Morocco","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",52,,
"ASI","Asia","MMR","Myanmar","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","MMR","Myanmar","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.1,,
"ALL","All regions","MMR","Myanmar","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MMR","Myanmar","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",50.1,,
"AME","Americas","NIC","Nicaragua","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","NIC","Nicaragua","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",58.8,,
"ALL","All regions","NIC","Nicaragua","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","NIC","Nicaragua","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",58.8,,
"AFR","Africa","NGA","Nigeria","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AFR","Africa","NGA","Nigeria","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",38.1,,
"ALL","All regions","NGA","Nigeria","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NGA","Nigeria","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",38.1,,
"ASI","Asia","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",56.3,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",56.3,,
"ASI","Asia","PAK","Pakistan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","PAK","Pakistan","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",38.4,,
"ALL","All regions","PAK","Pakistan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","PAK","Pakistan","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",38.4,,
"ASI","Asia","PNG","Papua New Guinea","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","PNG","Papua New Guinea","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","PHL","Philippines","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","PHL","Philippines","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",57.8,,
"ALL","All regions","PHL","Philippines","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","PHL","Philippines","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",57.8,,
"AFR","Africa","STP","Sao Tome and Principe","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","STP","Sao Tome and Principe","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","SLB","Solomon Islands","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","SLB","Solomon Islands","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","LKA","Sri Lanka","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","LKA","Sri Lanka","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",59.9,,
"ALL","All regions","LKA","Sri Lanka","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","LKA","Sri Lanka","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",59.9,,
"AFR","Africa","SDN","Sudan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","SDN","Sudan","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","SWZ","Eswatini","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","SWZ","Eswatini","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","TLS","Timor-Leste","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","TLS","Timor-Leste","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","TUN","Tunisia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","TUN","Tunisia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",46.4,,
"ALL","All regions","TUN","Tunisia","LWI","Lower middle income ","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","TUN","Tunisia","LWI","Lower middle income ","RCL_AJ_PRACT","Practice","2019","2019",46.4,,
